;vm_id;vm_type;task;vm_start;input_data;task_start;task_end;output_data;vm_end;volume;allocation_cost
0;VM 1;0;78/ID00077;2.99999912;8.8e-07;4.0;47.333333333333336;;47.333333333333336;130.0;133.00000264000002
172;VM 2;0;99/ID00098;2.99999912;8.8e-07;4.0;47.333333333333336;;47.333333333333336;130.0;133.00000264000002
344;VM 3;0;1/ID00000;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
516;VM 4;0;2/ID00001;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
688;VM 5;0;3/ID00002;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
860;VM 6;0;4/ID00003;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
1032;VM 7;0;5/ID00004;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
1204;VM 8;0;6/ID00005;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
1376;VM 9;0;7/ID00006;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
1548;VM 10;0;8/ID00007;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
1720;VM 11;0;9/ID00008;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
1892;VM 12;0;10/ID00009;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
2064;VM 13;0;11/ID00010;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
2236;VM 14;0;12/ID00011;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
2408;VM 15;0;13/ID00012;2.99999912;8.8e-07;4.0;51.0;;51.0;141.0;144.00000264
2580;VM 16;0;14/ID00013;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
2752;VM 17;0;15/ID00014;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
2924;VM 18;0;16/ID00015;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
3096;VM 19;0;17/ID00016;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
3268;VM 20;0;18/ID00017;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
3440;VM 21;0;19/ID00018;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
3612;VM 22;0;20/ID00019;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
3784;VM 23;0;21/ID00020;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
3956;VM 24;0;22/ID00021;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
4128;VM 25;0;23/ID00022;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
4300;VM 26;0;24/ID00023;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
