transfer_id,task_from,task_to,transfer_size
0,1/ID00000,3/ID00002,49
1,1/ID00000,4/ID00003,49
2,1/ID00000,5/ID00004,49
3,1/ID00000,6/ID00005,49
4,1/ID00000,7/ID00006,49
5,2/ID00001,8/ID00007,18
6,2/ID00001,9/ID00008,18
7,2/ID00001,10/ID00009,18
8,2/ID00001,11/ID00010,18
9,2/ID00001,12/ID00011,18
10,3/ID00002,13/ID00012,10
11,4/ID00003,14/ID00013,9
12,5/ID00004,15/ID00014,10
13,6/ID00005,16/ID00015,10
14,7/ID00006,17/ID00016,10
15,8/ID00007,18/ID00017,3
16,9/ID00008,19/ID00018,4
17,10/ID00009,20/ID00019,4
18,11/ID00010,21/ID00020,3
19,12/ID00011,22/ID00021,4
20,13/ID00012,23/ID00022,4
21,14/ID00013,24/ID00023,3
22,15/ID00014,25/ID00024,3
23,16/ID00015,26/ID00025,7
24,17/ID00016,27/ID00026,4
25,18/ID00017,28/ID00027,1
26,19/ID00018,29/ID00028,1
27,20/ID00019,30/ID00029,1
28,21/ID00020,31/ID00030,1
29,22/ID00021,32/ID00031,1
30,23/ID00022,33/ID00032,1
31,24/ID00023,34/ID00033,1
32,25/ID00024,35/ID00034,1
33,26/ID00025,36/ID00035,1
34,27/ID00026,37/ID00036,1
35,28/ID00027,38/ID00037,0
36,29/ID00028,39/ID00038,0
37,30/ID00029,40/ID00039,0
38,31/ID00030,41/ID00040,0
39,32/ID00031,42/ID00041,0
40,35/ID00034,43/ID00042,1
41,36/ID00035,43/ID00042,2
42,33/ID00032,43/ID00042,1
43,34/ID00033,43/ID00042,1
44,37/ID00036,43/ID00042,1
45,41/ID00040,44/ID00043,0
46,42/ID00041,44/ID00043,0
47,39/ID00038,44/ID00043,0
48,40/ID00039,44/ID00043,0
49,38/ID00037,44/ID00043,0
50,44/ID00043,45/ID00044,1
51,43/ID00042,45/ID00044,5
52,45/ID00044,46/ID00045,6
53,46/ID00045,47/ID00046,0
54,0/entry,1/ID00000,491.6
55,0/entry,2/ID00001,178.9
56,47/ID00046,48/finish,1
