transfer_id,task_from,task_to,transfer_size
0,46/ID00045,167/ID00166,84.0
1,1/ID00000,167/ID00166,84.0
2,1/ID00000,168/ID00167,84.0
3,61/ID00060,168/ID00167,84.0
4,1/ID00000,169/ID00168,84.0
5,166/ID00165,169/ID00168,84.0
6,2/ID00001,170/ID00169,84.0
7,1/ID00000,170/ID00169,84.0
8,2/ID00001,171/ID00170,84.0
9,5/ID00004,171/ID00170,84.0
10,2/ID00001,172/ID00171,84.0
11,10/ID00009,172/ID00171,84.0
12,2/ID00001,173/ID00172,84.0
13,16/ID00015,173/ID00172,84.0
14,2/ID00001,174/ID00173,84.0
15,123/ID00122,174/ID00173,84.0
16,3/ID00002,175/ID00174,84.0
17,14/ID00013,175/ID00174,84.0
18,3/ID00002,176/ID00175,84.0
19,140/ID00139,176/ID00175,84.0
20,3/ID00002,177/ID00176,84.0
21,164/ID00163,177/ID00176,84.0
22,4/ID00003,178/ID00177,84.0
23,44/ID00043,179/ID00178,84.0
24,4/ID00003,179/ID00178,84.0
25,46/ID00045,180/ID00179,84.0
26,4/ID00003,180/ID00179,84.0
27,4/ID00003,181/ID00180,84.0
28,161/ID00160,181/ID00180,84.0
29,15/ID00014,182/ID00181,84.0
30,5/ID00004,182/ID00181,84.0
31,5/ID00004,183/ID00182,84.0
32,55/ID00054,183/ID00182,84.0
33,99/ID00098,184/ID00183,84.0
34,5/ID00004,184/ID00183,84.0
35,2/ID00001,185/ID00184,84.0
36,6/ID00005,185/ID00184,84.0
37,6/ID00005,186/ID00185,84.0
38,20/ID00019,186/ID00185,84.0
39,79/ID00078,187/ID00186,84.0
40,6/ID00005,187/ID00186,84.0
41,32/ID00031,188/ID00187,84.0
42,7/ID00006,188/ID00187,84.0
43,7/ID00006,189/ID00188,84.0
44,76/ID00075,189/ID00188,84.0
45,7/ID00006,190/ID00189,84.0
46,146/ID00145,190/ID00189,84.0
47,7/ID00006,191/ID00190,84.0
48,162/ID00161,191/ID00190,84.0
49,26/ID00025,192/ID00191,84.0
50,8/ID00007,192/ID00191,84.0
51,123/ID00122,193/ID00192,84.0
52,8/ID00007,193/ID00192,84.0
53,19/ID00018,194/ID00193,84.0
54,9/ID00008,194/ID00193,84.0
55,64/ID00063,195/ID00194,84.0
56,9/ID00008,195/ID00194,84.0
57,137/ID00136,196/ID00195,84.0
58,9/ID00008,196/ID00195,84.0
59,27/ID00026,197/ID00196,84.0
60,10/ID00009,197/ID00196,84.0
61,66/ID00065,198/ID00197,84.0
62,10/ID00009,198/ID00197,84.0
63,139/ID00138,199/ID00198,84.0
64,10/ID00009,199/ID00198,84.0
65,153/ID00152,200/ID00199,84.0
66,10/ID00009,200/ID00199,84.0
67,11/ID00010,201/ID00200,84.0
68,93/ID00092,201/ID00200,84.0
69,107/ID00106,202/ID00201,84.0
70,11/ID00010,202/ID00201,84.0
71,160/ID00159,203/ID00202,84.0
72,11/ID00010,203/ID00202,84.0
73,12/ID00011,204/ID00203,84.0
74,20/ID00019,204/ID00203,84.0
75,12/ID00011,205/ID00204,84.0
76,84/ID00083,205/ID00204,84.0
77,12/ID00011,206/ID00205,84.0
78,112/ID00111,206/ID00205,84.0
79,12/ID00011,207/ID00206,84.0
80,143/ID00142,207/ID00206,84.0
81,12/ID00011,208/ID00207,84.0
82,166/ID00165,208/ID00207,84.0
83,13/ID00012,209/ID00208,84.0
84,67/ID00066,209/ID00208,84.0
85,128/ID00127,210/ID00209,84.0
86,13/ID00012,210/ID00209,84.0
87,14/ID00013,211/ID00210,84.0
88,7/ID00006,211/ID00210,84.0
89,14/ID00013,212/ID00211,84.0
90,29/ID00028,212/ID00211,84.0
91,34/ID00033,213/ID00212,84.0
92,14/ID00013,213/ID00212,84.0
93,14/ID00013,214/ID00213,84.0
94,85/ID00084,214/ID00213,84.0
95,14/ID00013,215/ID00214,84.0
96,143/ID00142,215/ID00214,84.0
97,14/ID00013,216/ID00215,84.0
98,153/ID00152,216/ID00215,84.0
99,7/ID00006,217/ID00216,84.0
100,15/ID00014,217/ID00216,84.0
101,15/ID00014,218/ID00217,84.0
102,10/ID00009,218/ID00217,84.0
103,15/ID00014,219/ID00218,84.0
104,30/ID00029,219/ID00218,84.0
105,16/ID00015,220/ID00219,84.0
106,55/ID00054,220/ID00219,84.0
107,16/ID00015,221/ID00220,84.0
108,112/ID00111,221/ID00220,84.0
109,70/ID00069,222/ID00221,84.0
110,17/ID00016,222/ID00221,84.0
