transfer_id,task_from,task_to,transfer_size
0,13/ID00012,1/ID00000,1.0
1,3/ID00002,1/ID00000,1.0
2,2/ID00001,1/ID00000,1.0
3,11/ID00010,1/ID00000,1.0
4,12/ID00011,1/ID00000,1.0
5,7/ID00006,1/ID00000,1.0
6,6/ID00005,1/ID00000,1.0
7,5/ID00004,1/ID00000,1.0
8,4/ID00003,1/ID00000,1.0
9,10/ID00009,1/ID00000,1.0
10,9/ID00008,1/ID00000,1.0
11,8/ID00007,1/ID00000,1.0
12,14/ID00013,18/ID00017,35.0
13,17/ID00016,18/ID00017,6.0
14,15/ID00014,18/ID00017,2.0
15,16/ID00015,18/ID00017,2.0
16,18/ID00017,19/ID00018,18.0
17,18/ID00017,20/ID00019,18.0
18,18/ID00017,21/ID00020,18.0
19,18/ID00017,22/ID00021,18.0
20,19/ID00018,22/ID00021,1.0
21,18/ID00017,23/ID00022,18.0
22,21/ID00020,24/ID00023,9.0
23,22/ID00021,24/ID00023,1.0
24,23/ID00022,24/ID00023,1.0
25,1/ID00000,24/ID00023,2.0
26,18/ID00017,24/ID00023,18.0
27,20/ID00019,24/ID00023,3.0
28,34/ID00034,25/ID00025,1.0
29,35/ID00035,25/ID00025,1.0
30,32/ID00032,25/ID00025,1.0
31,33/ID00033,25/ID00025,1.0
32,30/ID00030,25/ID00025,1.0
33,31/ID00031,25/ID00025,1.0
34,26/ID00026,25/ID00025,1.0
35,27/ID00027,25/ID00025,1.0
36,28/ID00028,25/ID00025,1.0
37,29/ID00029,25/ID00025,1.0
38,36/ID00036,25/ID00025,1.0
39,37/ID00037,25/ID00025,1.0
40,40/ID00040,42/ID00042,2.0
41,41/ID00041,42/ID00042,9.0
42,38/ID00038,42/ID00042,43.0
43,39/ID00039,42/ID00042,3.0
44,42/ID00042,43/ID00043,16.0
45,42/ID00042,44/ID00044,16.0
46,42/ID00042,45/ID00045,16.0
47,43/ID00043,46/ID00046,1.0
48,42/ID00042,46/ID00046,16.0
49,42/ID00042,47/ID00047,16.0
50,44/ID00044,48/ID00048,3.0
51,45/ID00045,48/ID00048,10.0
52,46/ID00046,48/ID00048,1.0
53,42/ID00042,48/ID00048,16.0
54,25/ID00025,48/ID00048,2.0
55,47/ID00047,48/ID00048,1.0
56,0/entry,2/ID00001,8.0
57,0/entry,3/ID00002,8.0
58,0/entry,4/ID00003,8.0
59,0/entry,5/ID00004,8.0
60,0/entry,6/ID00005,8.0
61,0/entry,7/ID00006,8.0
62,0/entry,8/ID00007,8.0
63,0/entry,9/ID00008,8.0
64,0/entry,10/ID00009,8.0
65,0/entry,11/ID00010,8.0
66,0/entry,12/ID00011,8.0
67,0/entry,13/ID00012,8.0
68,0/entry,14/ID00013,6.0
69,0/entry,15/ID00014,6.0
70,0/entry,16/ID00015,7.0
71,0/entry,17/ID00016,904.0
72,0/entry,26/ID00026,8.0
73,0/entry,27/ID00027,8.0
74,0/entry,28/ID00028,8.0
75,0/entry,29/ID00029,8.0
76,0/entry,30/ID00030,8.0
77,0/entry,31/ID00031,8.0
78,0/entry,32/ID00032,8.0
79,0/entry,33/ID00033,8.0
80,0/entry,34/ID00034,8.0
81,0/entry,35/ID00035,8.0
82,0/entry,36/ID00036,8.0
83,0/entry,37/ID00037,8.0
84,0/entry,38/ID00038,6.0
85,0/entry,39/ID00039,6.0
86,0/entry,40/ID00040,7.0
87,0/entry,41/ID00041,908.0
88,24/ID00023,49/finish,8.0
89,48/ID00048,49/finish,8.0
