transfer_id,task_from,task_to,transfer_size
0,1/ID00000,9/ID00008,84.0
1,3/ID00002,10/ID00009,84.0
2,1/ID00000,10/ID00009,84.0
3,1/ID00000,11/ID00010,84.0
4,7/ID00006,11/ID00010,84.0
5,1/ID00000,12/ID00011,84.0
6,8/ID00007,12/ID00011,84.0
7,2/ID00001,13/ID00012,84.0
8,2/ID00001,14/ID00013,84.0
9,4/ID00003,14/ID00013,84.0
10,2/ID00001,15/ID00014,84.0
11,8/ID00007,15/ID00014,84.0
12,3/ID00002,16/ID00015,84.0
13,1/ID00000,16/ID00015,84.0
14,3/ID00002,17/ID00016,84.0
15,3/ID00002,18/ID00017,84.0
16,4/ID00003,18/ID00017,84.0
17,3/ID00002,19/ID00018,84.0
18,6/ID00005,19/ID00018,84.0
19,3/ID00002,20/ID00019,84.0
20,8/ID00007,20/ID00019,84.0
21,1/ID00000,21/ID00020,84.0
22,4/ID00003,21/ID00020,84.0
23,5/ID00004,22/ID00021,84.0
24,4/ID00003,22/ID00021,84.0
25,6/ID00005,23/ID00022,84.0
26,4/ID00003,23/ID00022,84.0
27,4/ID00003,24/ID00023,84.0
28,8/ID00007,24/ID00023,84.0
29,5/ID00004,25/ID00024,84.0
30,6/ID00005,26/ID00025,84.0
31,5/ID00004,26/ID00025,84.0
32,1/ID00000,27/ID00026,84.0
33,6/ID00005,27/ID00026,84.0
34,2/ID00001,28/ID00027,84.0
35,6/ID00005,28/ID00027,84.0
36,6/ID00005,29/ID00028,84.0
37,4/ID00003,29/ID00028,84.0
38,2/ID00001,30/ID00029,84.0
39,7/ID00006,30/ID00029,84.0
40,7/ID00006,31/ID00030,84.0
41,8/ID00007,31/ID00030,84.0
42,1/ID00000,32/ID00031,84.0
43,8/ID00007,32/ID00031,84.0
44,2/ID00001,33/ID00032,84.0
45,8/ID00007,33/ID00032,84.0
46,4/ID00003,34/ID00033,84.0
47,8/ID00007,34/ID00033,84.0
48,6/ID00005,35/ID00034,84.0
49,8/ID00007,35/ID00034,84.0
50,7/ID00006,36/ID00035,84.0
51,8/ID00007,36/ID00035,84.0
52,10/ID00009,37/ID00036,6.0
53,9/ID00008,37/ID00036,3.0
54,35/ID00034,37/ID00036,5.0
55,36/ID00035,37/ID00036,3.0
56,33/ID00032,37/ID00036,3.0
57,34/ID00033,37/ID00036,4.0
58,13/ID00012,37/ID00036,3.0
59,31/ID00030,37/ID00036,5.0
60,14/ID00013,37/ID00036,3.0
61,32/ID00031,37/ID00036,3.0
62,11/ID00010,37/ID00036,5.0
63,12/ID00011,37/ID00036,5.0
64,17/ID00016,37/ID00036,6.0
65,18/ID00017,37/ID00036,4.0
66,15/ID00014,37/ID00036,5.0
67,16/ID00015,37/ID00036,4.0
68,19/ID00018,37/ID00036,3.0
69,20/ID00019,37/ID00036,4.0
70,21/ID00020,37/ID00036,5.0
71,22/ID00021,37/ID00036,6.0
72,23/ID00022,37/ID00036,4.0
73,24/ID00023,37/ID00036,6.0
74,25/ID00024,37/ID00036,3.0
75,26/ID00025,37/ID00036,5.0
76,27/ID00026,37/ID00036,4.0
77,28/ID00027,37/ID00036,4.0
78,29/ID00028,37/ID00036,4.0
79,30/ID00029,37/ID00036,5.0
80,37/ID00036,38/ID00037,1.0
81,1/ID00000,39/ID00038,84.0
82,38/ID00037,39/ID00038,1.0
83,2/ID00001,40/ID00039,84.0
84,38/ID00037,40/ID00039,1.0
85,3/ID00002,41/ID00040,84.0
86,38/ID00037,41/ID00040,1.0
87,4/ID00003,42/ID00041,84.0
88,38/ID00037,42/ID00041,1.0
89,5/ID00004,43/ID00042,84.0
90,38/ID00037,43/ID00042,1.0
91,6/ID00005,44/ID00043,84.0
92,38/ID00037,44/ID00043,1.0
93,7/ID00006,45/ID00044,84.0
94,38/ID00037,45/ID00044,1.0
95,8/ID00007,46/ID00045,84.0
96,38/ID00037,46/ID00045,1.0
97,44/ID00043,47/ID00046,84.0
98,45/ID00044,47/ID00046,84.0
99,46/ID00045,47/ID00046,84.0
100,41/ID00040,47/ID00046,84.0
101,42/ID00041,47/ID00046,84.0
102,43/ID00042,47/ID00046,84.0
103,39/ID00038,47/ID00046,84.0
104,40/ID00039,47/ID00046,84.0
105,47/ID00046,48/ID00047,1.0
106,48/ID00047,49/ID00048,1304.0
107,49/ID00048,50/ID00049,27.0
108,0/entry,1/ID00000,44.0
109,0/entry,2/ID00001,44.0
110,0/entry,3/ID00002,44.0
111,0/entry,4/ID00003,44.0
112,0/entry,5/ID00004,44.0
113,0/entry,6/ID00005,44.0
114,0/entry,7/ID00006,44.0
115,0/entry,8/ID00007,44.0
116,50/ID00049,51/finish,3.0
117,53/ID00000,61/ID00008,84.0
118,55/ID00002,62/ID00009,84.0
119,53/ID00000,62/ID00009,84.0
120,53/ID00000,63/ID00010,84.0
121,59/ID00006,63/ID00010,84.0
122,53/ID00000,64/ID00011,84.0
123,60/ID00007,64/ID00011,84.0
124,54/ID00001,65/ID00012,84.0
125,54/ID00001,66/ID00013,84.0
126,56/ID00003,66/ID00013,84.0
127,54/ID00001,67/ID00014,84.0
128,60/ID00007,67/ID00014,84.0
129,55/ID00002,68/ID00015,84.0
130,53/ID00000,68/ID00015,84.0
131,55/ID00002,69/ID00016,84.0
132,55/ID00002,70/ID00017,84.0
133,56/ID00003,70/ID00017,84.0
134,55/ID00002,71/ID00018,84.0
135,58/ID00005,71/ID00018,84.0
136,55/ID00002,72/ID00019,84.0
137,60/ID00007,72/ID00019,84.0
138,53/ID00000,73/ID00020,84.0
139,56/ID00003,73/ID00020,84.0
140,57/ID00004,74/ID00021,84.0
141,56/ID00003,74/ID00021,84.0
142,58/ID00005,75/ID00022,84.0
143,56/ID00003,75/ID00022,84.0
144,56/ID00003,76/ID00023,84.0
145,60/ID00007,76/ID00023,84.0
146,57/ID00004,77/ID00024,84.0
147,58/ID00005,78/ID00025,84.0
148,57/ID00004,78/ID00025,84.0
149,53/ID00000,79/ID00026,84.0
150,58/ID00005,79/ID00026,84.0
151,54/ID00001,80/ID00027,84.0
152,58/ID00005,80/ID00027,84.0
153,58/ID00005,81/ID00028,84.0
154,56/ID00003,81/ID00028,84.0
155,54/ID00001,82/ID00029,84.0
156,59/ID00006,82/ID00029,84.0
157,59/ID00006,83/ID00030,84.0
158,60/ID00007,83/ID00030,84.0
159,53/ID00000,84/ID00031,84.0
160,60/ID00007,84/ID00031,84.0
161,54/ID00001,85/ID00032,84.0
162,60/ID00007,85/ID00032,84.0
163,56/ID00003,86/ID00033,84.0
164,60/ID00007,86/ID00033,84.0
165,58/ID00005,87/ID00034,84.0
166,60/ID00007,87/ID00034,84.0
167,59/ID00006,88/ID00035,84.0
168,60/ID00007,88/ID00035,84.0
169,62/ID00009,89/ID00036,6.0
170,61/ID00008,89/ID00036,3.0
171,87/ID00034,89/ID00036,5.0
172,88/ID00035,89/ID00036,3.0
173,85/ID00032,89/ID00036,3.0
174,86/ID00033,89/ID00036,4.0
175,65/ID00012,89/ID00036,3.0
176,83/ID00030,89/ID00036,5.0
177,66/ID00013,89/ID00036,3.0
178,84/ID00031,89/ID00036,3.0
179,63/ID00010,89/ID00036,5.0
180,64/ID00011,89/ID00036,5.0
181,69/ID00016,89/ID00036,6.0
182,70/ID00017,89/ID00036,4.0
183,67/ID00014,89/ID00036,5.0
184,68/ID00015,89/ID00036,4.0
185,71/ID00018,89/ID00036,3.0
186,72/ID00019,89/ID00036,4.0
187,73/ID00020,89/ID00036,5.0
188,74/ID00021,89/ID00036,6.0
189,75/ID00022,89/ID00036,4.0
190,76/ID00023,89/ID00036,6.0
191,77/ID00024,89/ID00036,3.0
192,78/ID00025,89/ID00036,5.0
193,79/ID00026,89/ID00036,4.0
194,80/ID00027,89/ID00036,4.0
195,81/ID00028,89/ID00036,4.0
196,82/ID00029,89/ID00036,5.0
197,89/ID00036,90/ID00037,1.0
198,53/ID00000,91/ID00038,84.0
199,90/ID00037,91/ID00038,1.0
200,54/ID00001,92/ID00039,84.0
201,90/ID00037,92/ID00039,1.0
202,55/ID00002,93/ID00040,84.0
203,90/ID00037,93/ID00040,1.0
204,56/ID00003,94/ID00041,84.0
205,90/ID00037,94/ID00041,1.0
206,57/ID00004,95/ID00042,84.0
207,90/ID00037,95/ID00042,1.0
208,58/ID00005,96/ID00043,84.0
209,90/ID00037,96/ID00043,1.0
210,59/ID00006,97/ID00044,84.0
211,90/ID00037,97/ID00044,1.0
212,60/ID00007,98/ID00045,84.0
213,90/ID00037,98/ID00045,1.0
214,96/ID00043,99/ID00046,84.0
215,97/ID00044,99/ID00046,84.0
216,98/ID00045,99/ID00046,84.0
217,93/ID00040,99/ID00046,84.0
218,94/ID00041,99/ID00046,84.0
219,95/ID00042,99/ID00046,84.0
220,91/ID00038,99/ID00046,84.0
221,92/ID00039,99/ID00046,84.0
222,99/ID00046,100/ID00047,1.0
223,100/ID00047,101/ID00048,1304.0
224,101/ID00048,102/ID00049,27.0
225,52/entry,53/ID00000,44.0
226,52/entry,54/ID00001,44.0
227,52/entry,55/ID00002,44.0
228,52/entry,56/ID00003,44.0
229,52/entry,57/ID00004,44.0
230,52/entry,58/ID00005,44.0
231,52/entry,59/ID00006,44.0
232,52/entry,60/ID00007,44.0
233,102/ID00049,103/finish,3.0
234,105/ID00000,113/ID00008,84.0
235,107/ID00002,114/ID00009,84.0
236,105/ID00000,114/ID00009,84.0
237,105/ID00000,115/ID00010,84.0
238,111/ID00006,115/ID00010,84.0
239,105/ID00000,116/ID00011,84.0
240,112/ID00007,116/ID00011,84.0
241,106/ID00001,117/ID00012,84.0
242,106/ID00001,118/ID00013,84.0
243,108/ID00003,118/ID00013,84.0
244,106/ID00001,119/ID00014,84.0
245,112/ID00007,119/ID00014,84.0
246,107/ID00002,120/ID00015,84.0
247,105/ID00000,120/ID00015,84.0
248,107/ID00002,121/ID00016,84.0
249,107/ID00002,122/ID00017,84.0
250,108/ID00003,122/ID00017,84.0
251,107/ID00002,123/ID00018,84.0
252,110/ID00005,123/ID00018,84.0
253,107/ID00002,124/ID00019,84.0
254,112/ID00007,124/ID00019,84.0
255,105/ID00000,125/ID00020,84.0
256,108/ID00003,125/ID00020,84.0
257,109/ID00004,126/ID00021,84.0
258,108/ID00003,126/ID00021,84.0
259,110/ID00005,127/ID00022,84.0
260,108/ID00003,127/ID00022,84.0
261,108/ID00003,128/ID00023,84.0
262,112/ID00007,128/ID00023,84.0
263,109/ID00004,129/ID00024,84.0
264,110/ID00005,130/ID00025,84.0
265,109/ID00004,130/ID00025,84.0
266,105/ID00000,131/ID00026,84.0
267,110/ID00005,131/ID00026,84.0
268,106/ID00001,132/ID00027,84.0
269,110/ID00005,132/ID00027,84.0
270,110/ID00005,133/ID00028,84.0
271,108/ID00003,133/ID00028,84.0
272,106/ID00001,134/ID00029,84.0
273,111/ID00006,134/ID00029,84.0
274,111/ID00006,135/ID00030,84.0
275,112/ID00007,135/ID00030,84.0
276,105/ID00000,136/ID00031,84.0
277,112/ID00007,136/ID00031,84.0
278,106/ID00001,137/ID00032,84.0
279,112/ID00007,137/ID00032,84.0
280,108/ID00003,138/ID00033,84.0
281,112/ID00007,138/ID00033,84.0
282,110/ID00005,139/ID00034,84.0
283,112/ID00007,139/ID00034,84.0
284,111/ID00006,140/ID00035,84.0
285,112/ID00007,140/ID00035,84.0
286,114/ID00009,141/ID00036,6.0
287,113/ID00008,141/ID00036,3.0
288,139/ID00034,141/ID00036,5.0
289,140/ID00035,141/ID00036,3.0
290,137/ID00032,141/ID00036,3.0
291,138/ID00033,141/ID00036,4.0
292,117/ID00012,141/ID00036,3.0
293,135/ID00030,141/ID00036,5.0
294,118/ID00013,141/ID00036,3.0
295,136/ID00031,141/ID00036,3.0
296,115/ID00010,141/ID00036,5.0
297,116/ID00011,141/ID00036,5.0
298,121/ID00016,141/ID00036,6.0
299,122/ID00017,141/ID00036,4.0
300,119/ID00014,141/ID00036,5.0
301,120/ID00015,141/ID00036,4.0
302,123/ID00018,141/ID00036,3.0
303,124/ID00019,141/ID00036,4.0
304,125/ID00020,141/ID00036,5.0
305,126/ID00021,141/ID00036,6.0
306,127/ID00022,141/ID00036,4.0
307,128/ID00023,141/ID00036,6.0
308,129/ID00024,141/ID00036,3.0
309,130/ID00025,141/ID00036,5.0
310,131/ID00026,141/ID00036,4.0
311,132/ID00027,141/ID00036,4.0
312,133/ID00028,141/ID00036,4.0
313,134/ID00029,141/ID00036,5.0
314,141/ID00036,142/ID00037,1.0
315,105/ID00000,143/ID00038,84.0
316,142/ID00037,143/ID00038,1.0
317,106/ID00001,144/ID00039,84.0
318,142/ID00037,144/ID00039,1.0
319,107/ID00002,145/ID00040,84.0
320,142/ID00037,145/ID00040,1.0
321,108/ID00003,146/ID00041,84.0
322,142/ID00037,146/ID00041,1.0
323,109/ID00004,147/ID00042,84.0
324,142/ID00037,147/ID00042,1.0
325,110/ID00005,148/ID00043,84.0
326,142/ID00037,148/ID00043,1.0
327,111/ID00006,149/ID00044,84.0
328,142/ID00037,149/ID00044,1.0
329,112/ID00007,150/ID00045,84.0
330,142/ID00037,150/ID00045,1.0
331,148/ID00043,151/ID00046,84.0
332,149/ID00044,151/ID00046,84.0
333,150/ID00045,151/ID00046,84.0
334,145/ID00040,151/ID00046,84.0
335,146/ID00041,151/ID00046,84.0
336,147/ID00042,151/ID00046,84.0
337,143/ID00038,151/ID00046,84.0
338,144/ID00039,151/ID00046,84.0
339,151/ID00046,152/ID00047,1.0
340,152/ID00047,153/ID00048,1304.0
341,153/ID00048,154/ID00049,27.0
342,104/entry,105/ID00000,44.0
343,104/entry,106/ID00001,44.0
344,104/entry,107/ID00002,44.0
345,104/entry,108/ID00003,44.0
346,104/entry,109/ID00004,44.0
347,104/entry,110/ID00005,44.0
348,104/entry,111/ID00006,44.0
349,104/entry,112/ID00007,44.0
350,154/ID00049,155/finish,3.0
351,157/ID00000,165/ID00008,84.0
352,159/ID00002,166/ID00009,84.0
353,157/ID00000,166/ID00009,84.0
354,157/ID00000,167/ID00010,84.0
355,163/ID00006,167/ID00010,84.0
356,157/ID00000,168/ID00011,84.0
357,164/ID00007,168/ID00011,84.0
358,158/ID00001,169/ID00012,84.0
359,158/ID00001,170/ID00013,84.0
360,160/ID00003,170/ID00013,84.0
361,158/ID00001,171/ID00014,84.0
362,164/ID00007,171/ID00014,84.0
363,159/ID00002,172/ID00015,84.0
364,157/ID00000,172/ID00015,84.0
365,159/ID00002,173/ID00016,84.0
366,159/ID00002,174/ID00017,84.0
367,160/ID00003,174/ID00017,84.0
368,159/ID00002,175/ID00018,84.0
369,162/ID00005,175/ID00018,84.0
370,159/ID00002,176/ID00019,84.0
371,164/ID00007,176/ID00019,84.0
372,157/ID00000,177/ID00020,84.0
373,160/ID00003,177/ID00020,84.0
374,161/ID00004,178/ID00021,84.0
375,160/ID00003,178/ID00021,84.0
376,162/ID00005,179/ID00022,84.0
377,160/ID00003,179/ID00022,84.0
378,160/ID00003,180/ID00023,84.0
379,164/ID00007,180/ID00023,84.0
380,161/ID00004,181/ID00024,84.0
381,162/ID00005,182/ID00025,84.0
382,161/ID00004,182/ID00025,84.0
383,157/ID00000,183/ID00026,84.0
384,162/ID00005,183/ID00026,84.0
385,158/ID00001,184/ID00027,84.0
386,162/ID00005,184/ID00027,84.0
387,162/ID00005,185/ID00028,84.0
388,160/ID00003,185/ID00028,84.0
389,158/ID00001,186/ID00029,84.0
390,163/ID00006,186/ID00029,84.0
391,163/ID00006,187/ID00030,84.0
392,164/ID00007,187/ID00030,84.0
393,157/ID00000,188/ID00031,84.0
394,164/ID00007,188/ID00031,84.0
395,158/ID00001,189/ID00032,84.0
396,164/ID00007,189/ID00032,84.0
397,160/ID00003,190/ID00033,84.0
398,164/ID00007,190/ID00033,84.0
399,162/ID00005,191/ID00034,84.0
400,164/ID00007,191/ID00034,84.0
401,163/ID00006,192/ID00035,84.0
402,164/ID00007,192/ID00035,84.0
403,166/ID00009,193/ID00036,6.0
404,165/ID00008,193/ID00036,3.0
405,191/ID00034,193/ID00036,5.0
406,192/ID00035,193/ID00036,3.0
407,189/ID00032,193/ID00036,3.0
408,190/ID00033,193/ID00036,4.0
409,169/ID00012,193/ID00036,3.0
410,187/ID00030,193/ID00036,5.0
411,170/ID00013,193/ID00036,3.0
412,188/ID00031,193/ID00036,3.0
413,167/ID00010,193/ID00036,5.0
414,168/ID00011,193/ID00036,5.0
415,173/ID00016,193/ID00036,6.0
416,174/ID00017,193/ID00036,4.0
417,171/ID00014,193/ID00036,5.0
418,172/ID00015,193/ID00036,4.0
419,175/ID00018,193/ID00036,3.0
420,176/ID00019,193/ID00036,4.0
421,177/ID00020,193/ID00036,5.0
422,178/ID00021,193/ID00036,6.0
423,179/ID00022,193/ID00036,4.0
424,180/ID00023,193/ID00036,6.0
425,181/ID00024,193/ID00036,3.0
426,182/ID00025,193/ID00036,5.0
427,183/ID00026,193/ID00036,4.0
428,184/ID00027,193/ID00036,4.0
429,185/ID00028,193/ID00036,4.0
430,186/ID00029,193/ID00036,5.0
431,193/ID00036,194/ID00037,1.0
432,157/ID00000,195/ID00038,84.0
433,194/ID00037,195/ID00038,1.0
434,158/ID00001,196/ID00039,84.0
435,194/ID00037,196/ID00039,1.0
436,159/ID00002,197/ID00040,84.0
437,194/ID00037,197/ID00040,1.0
438,160/ID00003,198/ID00041,84.0
439,194/ID00037,198/ID00041,1.0
440,161/ID00004,199/ID00042,84.0
441,194/ID00037,199/ID00042,1.0
442,162/ID00005,200/ID00043,84.0
443,194/ID00037,200/ID00043,1.0
444,163/ID00006,201/ID00044,84.0
445,194/ID00037,201/ID00044,1.0
446,164/ID00007,202/ID00045,84.0
447,194/ID00037,202/ID00045,1.0
448,200/ID00043,203/ID00046,84.0
449,201/ID00044,203/ID00046,84.0
450,202/ID00045,203/ID00046,84.0
451,197/ID00040,203/ID00046,84.0
452,198/ID00041,203/ID00046,84.0
453,199/ID00042,203/ID00046,84.0
454,195/ID00038,203/ID00046,84.0
455,196/ID00039,203/ID00046,84.0
456,203/ID00046,204/ID00047,1.0
457,204/ID00047,205/ID00048,1304.0
458,205/ID00048,206/ID00049,27.0
459,156/entry,157/ID00000,44.0
460,156/entry,158/ID00001,44.0
461,156/entry,159/ID00002,44.0
462,156/entry,160/ID00003,44.0
463,156/entry,161/ID00004,44.0
464,156/entry,162/ID00005,44.0
465,156/entry,163/ID00006,44.0
466,156/entry,164/ID00007,44.0
467,206/ID00049,207/finish,3.0
