transfer_id,task_from,task_to,transfer_size
0,1/ID00000,9/ID00008,84.0
1,3/ID00002,10/ID00009,84.0
2,1/ID00000,10/ID00009,84.0
3,1/ID00000,11/ID00010,84.0
4,7/ID00006,11/ID00010,84.0
5,1/ID00000,12/ID00011,84.0
6,8/ID00007,12/ID00011,84.0
7,2/ID00001,13/ID00012,84.0
8,2/ID00001,14/ID00013,84.0
9,4/ID00003,14/ID00013,84.0
10,2/ID00001,15/ID00014,84.0
11,8/ID00007,15/ID00014,84.0
12,3/ID00002,16/ID00015,84.0
13,1/ID00000,16/ID00015,84.0
14,3/ID00002,17/ID00016,84.0
15,3/ID00002,18/ID00017,84.0
16,4/ID00003,18/ID00017,84.0
17,3/ID00002,19/ID00018,84.0
18,6/ID00005,19/ID00018,84.0
19,3/ID00002,20/ID00019,84.0
20,8/ID00007,20/ID00019,84.0
21,1/ID00000,21/ID00020,84.0
22,4/ID00003,21/ID00020,84.0
23,5/ID00004,22/ID00021,84.0
24,4/ID00003,22/ID00021,84.0
25,6/ID00005,23/ID00022,84.0
26,4/ID00003,23/ID00022,84.0
27,4/ID00003,24/ID00023,84.0
28,8/ID00007,24/ID00023,84.0
29,5/ID00004,25/ID00024,84.0
30,6/ID00005,26/ID00025,84.0
31,5/ID00004,26/ID00025,84.0
32,1/ID00000,27/ID00026,84.0
33,6/ID00005,27/ID00026,84.0
34,2/ID00001,28/ID00027,84.0
35,6/ID00005,28/ID00027,84.0
36,6/ID00005,29/ID00028,84.0
37,4/ID00003,29/ID00028,84.0
38,2/ID00001,30/ID00029,84.0
39,7/ID00006,30/ID00029,84.0
40,7/ID00006,31/ID00030,84.0
41,8/ID00007,31/ID00030,84.0
42,1/ID00000,32/ID00031,84.0
43,8/ID00007,32/ID00031,84.0
44,2/ID00001,33/ID00032,84.0
45,8/ID00007,33/ID00032,84.0
46,4/ID00003,34/ID00033,84.0
47,8/ID00007,34/ID00033,84.0
48,6/ID00005,35/ID00034,84.0
49,8/ID00007,35/ID00034,84.0
50,7/ID00006,36/ID00035,84.0
51,8/ID00007,36/ID00035,84.0
52,10/ID00009,37/ID00036,6.0
53,9/ID00008,37/ID00036,3.0
54,35/ID00034,37/ID00036,5.0
55,36/ID00035,37/ID00036,3.0
56,33/ID00032,37/ID00036,3.0
57,34/ID00033,37/ID00036,4.0
58,13/ID00012,37/ID00036,3.0
59,31/ID00030,37/ID00036,5.0
60,14/ID00013,37/ID00036,3.0
61,32/ID00031,37/ID00036,3.0
62,11/ID00010,37/ID00036,5.0
63,12/ID00011,37/ID00036,5.0
64,17/ID00016,37/ID00036,6.0
65,18/ID00017,37/ID00036,4.0
66,15/ID00014,37/ID00036,5.0
67,16/ID00015,37/ID00036,4.0
68,19/ID00018,37/ID00036,3.0
69,20/ID00019,37/ID00036,4.0
70,21/ID00020,37/ID00036,5.0
71,22/ID00021,37/ID00036,6.0
72,23/ID00022,37/ID00036,4.0
73,24/ID00023,37/ID00036,6.0
74,25/ID00024,37/ID00036,3.0
75,26/ID00025,37/ID00036,5.0
76,27/ID00026,37/ID00036,4.0
77,28/ID00027,37/ID00036,4.0
78,29/ID00028,37/ID00036,4.0
79,30/ID00029,37/ID00036,5.0
80,37/ID00036,38/ID00037,1.0
81,1/ID00000,39/ID00038,84.0
82,38/ID00037,39/ID00038,1.0
83,2/ID00001,40/ID00039,84.0
84,38/ID00037,40/ID00039,1.0
85,3/ID00002,41/ID00040,84.0
86,38/ID00037,41/ID00040,1.0
87,4/ID00003,42/ID00041,84.0
88,38/ID00037,42/ID00041,1.0
89,5/ID00004,43/ID00042,84.0
90,38/ID00037,43/ID00042,1.0
91,6/ID00005,44/ID00043,84.0
92,38/ID00037,44/ID00043,1.0
93,7/ID00006,45/ID00044,84.0
94,38/ID00037,45/ID00044,1.0
95,8/ID00007,46/ID00045,84.0
96,38/ID00037,46/ID00045,1.0
97,44/ID00043,47/ID00046,84.0
98,45/ID00044,47/ID00046,84.0
99,46/ID00045,47/ID00046,84.0
100,41/ID00040,47/ID00046,84.0
101,42/ID00041,47/ID00046,84.0
102,43/ID00042,47/ID00046,84.0
103,39/ID00038,47/ID00046,84.0
104,40/ID00039,47/ID00046,84.0
105,47/ID00046,48/ID00047,1.0
106,48/ID00047,49/ID00048,1304.0
107,49/ID00048,50/ID00049,27.0
108,0/entry,1/ID00000,44.0
109,0/entry,2/ID00001,44.0
110,0/entry,3/ID00002,44.0
111,0/entry,4/ID00003,44.0
112,0/entry,5/ID00004,44.0
113,0/entry,6/ID00005,44.0
114,0/entry,7/ID00006,44.0
115,0/entry,8/ID00007,44.0
116,50/ID00049,51/finish,3.0
117,59/ID00006,53/ID00000,1.0
118,57/ID00004,53/ID00000,1.0
119,61/ID00008,53/ID00000,1.0
120,96/ID00043,53/ID00000,1.0
121,88/ID00035,53/ID00000,1.0
122,98/ID00045,53/ID00000,1.0
123,86/ID00033,53/ID00000,1.0
124,73/ID00020,53/ID00000,1.0
125,65/ID00012,53/ID00000,1.0
126,84/ID00031,53/ID00000,1.0
127,75/ID00022,53/ID00000,1.0
128,94/ID00041,53/ID00000,1.0
129,63/ID00010,53/ID00000,1.0
130,69/ID00016,53/ID00000,1.0
131,78/ID00025,53/ID00000,1.0
132,67/ID00014,53/ID00000,1.0
133,80/ID00027,53/ID00000,1.0
134,100/ID00047,53/ID00000,1.0
135,82/ID00029,53/ID00000,1.0
136,92/ID00039,53/ID00000,1.0
137,102/ID00049,53/ID00000,1.0
138,71/ID00018,53/ID00000,1.0
139,90/ID00037,53/ID00000,1.0
140,58/ID00005,54/ID00001,1.0
141,56/ID00003,54/ID00001,1.0
142,62/ID00009,54/ID00001,1.0
143,60/ID00007,54/ID00001,1.0
144,87/ID00034,54/ID00001,1.0
145,97/ID00044,54/ID00001,1.0
146,85/ID00032,54/ID00001,1.0
147,99/ID00046,54/ID00001,1.0
148,83/ID00030,54/ID00001,1.0
149,74/ID00021,54/ID00001,1.0
150,93/ID00040,54/ID00001,1.0
151,66/ID00013,54/ID00001,1.0
152,95/ID00042,54/ID00001,1.0
153,64/ID00011,54/ID00001,1.0
154,77/ID00024,54/ID00001,1.0
155,70/ID00017,54/ID00001,1.0
156,79/ID00026,54/ID00001,1.0
157,68/ID00015,54/ID00001,1.0
158,81/ID00028,54/ID00001,1.0
159,91/ID00038,54/ID00001,1.0
160,101/ID00048,54/ID00001,1.0
161,89/ID00036,54/ID00001,1.0
162,72/ID00019,54/ID00001,1.0
163,55/ID00002,56/ID00003,5676.0
164,56/ID00003,57/ID00004,1.0
165,55/ID00002,58/ID00005,5676.0
166,58/ID00005,59/ID00006,1.0
167,55/ID00002,60/ID00007,5676.0
168,60/ID00007,61/ID00008,1.0
169,55/ID00002,62/ID00009,5676.0
170,62/ID00009,63/ID00010,1.0
171,55/ID00002,64/ID00011,5676.0
172,64/ID00011,65/ID00012,1.0
173,55/ID00002,66/ID00013,5676.0
174,66/ID00013,67/ID00014,1.0
175,55/ID00002,68/ID00015,5676.0
176,68/ID00015,69/ID00016,1.0
177,55/ID00002,70/ID00017,5676.0
178,70/ID00017,71/ID00018,1.0
179,55/ID00002,72/ID00019,5676.0
180,72/ID00019,73/ID00020,1.0
181,55/ID00002,74/ID00021,5676.0
182,74/ID00021,75/ID00022,1.0
183,76/ID00023,77/ID00024,3808.0
184,77/ID00024,78/ID00025,1.0
185,76/ID00023,79/ID00026,3808.0
186,79/ID00026,80/ID00027,1.0
187,76/ID00023,81/ID00028,3808.0
188,81/ID00028,82/ID00029,1.0
189,76/ID00023,83/ID00030,3808.0
190,83/ID00030,84/ID00031,1.0
191,76/ID00023,85/ID00032,3808.0
192,85/ID00032,86/ID00033,1.0
193,76/ID00023,87/ID00034,3808.0
194,87/ID00034,88/ID00035,1.0
195,76/ID00023,89/ID00036,3808.0
196,89/ID00036,90/ID00037,1.0
197,76/ID00023,91/ID00038,3808.0
198,91/ID00038,92/ID00039,1.0
199,76/ID00023,93/ID00040,3808.0
200,93/ID00040,94/ID00041,1.0
201,76/ID00023,95/ID00042,3808.0
202,95/ID00042,96/ID00043,1.0
203,76/ID00023,97/ID00044,3808.0
204,97/ID00044,98/ID00045,1.0
205,76/ID00023,99/ID00046,3808.0
206,99/ID00046,100/ID00047,1.0
207,76/ID00023,101/ID00048,3808.0
208,101/ID00048,102/ID00049,1.0
209,52/entry,55/ID00002,391398.0
210,52/entry,76/ID00023,393093.0
211,53/ID00000,103/finish,1.0
212,54/ID00001,103/finish,1.0
213,117/ID00012,105/ID00000,1.0
214,107/ID00002,105/ID00000,2.0
215,106/ID00001,105/ID00000,1.0
216,115/ID00010,105/ID00000,2.0
217,116/ID00011,105/ID00000,1.0
218,111/ID00006,105/ID00000,2.0
219,110/ID00005,105/ID00000,1.0
220,109/ID00004,105/ID00000,2.0
221,108/ID00003,105/ID00000,1.0
222,114/ID00009,105/ID00000,1.0
223,113/ID00008,105/ID00000,1.0
224,112/ID00007,105/ID00000,1.0
225,118/ID00013,122/ID00017,312.0
226,121/ID00016,122/ID00017,34.0
227,119/ID00014,122/ID00017,11.0
228,120/ID00015,122/ID00017,6.0
229,122/ID00017,123/ID00018,76.0
230,122/ID00017,124/ID00019,76.0
231,122/ID00017,125/ID00020,76.0
232,122/ID00017,126/ID00021,76.0
233,123/ID00018,126/ID00021,8.0
234,122/ID00017,127/ID00022,76.0
235,125/ID00020,128/ID00023,36.0
236,126/ID00021,128/ID00023,7.0
237,127/ID00022,128/ID00023,10.0
238,105/ID00000,128/ID00023,11.0
239,122/ID00017,128/ID00023,76.0
240,124/ID00019,128/ID00023,3.0
241,138/ID00034,129/ID00025,2.0
242,139/ID00035,129/ID00025,1.0
243,136/ID00032,129/ID00025,2.0
244,137/ID00033,129/ID00025,1.0
245,134/ID00030,129/ID00025,1.0
246,135/ID00031,129/ID00025,2.0
247,130/ID00026,129/ID00025,2.0
248,131/ID00027,129/ID00025,2.0
249,132/ID00028,129/ID00025,1.0
250,133/ID00029,129/ID00025,1.0
251,140/ID00036,129/ID00025,2.0
252,141/ID00037,129/ID00025,1.0
253,144/ID00040,146/ID00042,6.0
254,145/ID00041,146/ID00042,64.0
255,142/ID00038,146/ID00042,387.0
256,143/ID00039,146/ID00042,12.0
257,146/ID00042,147/ID00043,57.0
258,146/ID00042,148/ID00044,57.0
259,146/ID00042,149/ID00045,57.0
260,147/ID00043,150/ID00046,8.0
261,146/ID00042,150/ID00046,57.0
262,146/ID00042,151/ID00047,57.0
263,148/ID00044,152/ID00048,3.0
264,149/ID00045,152/ID00048,43.0
265,150/ID00046,152/ID00048,8.0
266,146/ID00042,152/ID00048,57.0
267,129/ID00025,152/ID00048,12.0
268,151/ID00047,152/ID00048,8.0
269,104/entry,106/ID00001,48.0
270,104/entry,107/ID00002,48.0
271,104/entry,108/ID00003,48.0
272,104/entry,109/ID00004,48.0
273,104/entry,110/ID00005,48.0
274,104/entry,111/ID00006,48.0
275,104/entry,112/ID00007,48.0
276,104/entry,113/ID00008,48.0
277,104/entry,114/ID00009,48.0
278,104/entry,115/ID00010,48.0
279,104/entry,116/ID00011,48.0
280,104/entry,117/ID00012,48.0
281,104/entry,118/ID00013,50.0
282,104/entry,119/ID00014,45.0
283,104/entry,120/ID00015,49.0
284,104/entry,121/ID00016,3089.0
285,104/entry,130/ID00026,48.0
286,104/entry,131/ID00027,48.0
287,104/entry,132/ID00028,48.0
288,104/entry,133/ID00029,48.0
289,104/entry,134/ID00030,48.0
290,104/entry,135/ID00031,48.0
291,104/entry,136/ID00032,48.0
292,104/entry,137/ID00033,48.0
293,104/entry,138/ID00034,48.0
294,104/entry,139/ID00035,48.0
295,104/entry,140/ID00036,48.0
296,104/entry,141/ID00037,48.0
297,104/entry,142/ID00038,50.0
298,104/entry,143/ID00039,45.0
299,104/entry,144/ID00040,49.0
300,104/entry,145/ID00041,3067.0
301,128/ID00023,153/finish,24.0
302,152/ID00048,153/finish,22.0
303,155/ID00000,167/ID00012,10.0
304,156/ID00001,168/ID00013,11.0
305,157/ID00002,169/ID00014,11.0
306,158/ID00003,170/ID00015,10.0
307,159/ID00004,171/ID00016,10.0
308,160/ID00005,172/ID00017,10.0
309,161/ID00006,173/ID00018,10.0
310,162/ID00007,174/ID00019,10.0
311,163/ID00008,175/ID00020,10.0
312,164/ID00009,176/ID00021,10.0
313,165/ID00010,177/ID00022,11.0
314,166/ID00011,178/ID00023,10.0
315,175/ID00020,179/ID00024,3.0
316,176/ID00021,179/ID00024,2.0
317,167/ID00012,179/ID00024,5.0
318,177/ID00022,179/ID00024,3.0
319,168/ID00013,179/ID00024,2.0
320,178/ID00023,179/ID00024,3.0
321,171/ID00016,179/ID00024,4.0
322,172/ID00017,179/ID00024,3.0
323,169/ID00014,179/ID00024,4.0
324,170/ID00015,179/ID00024,3.0
325,173/ID00018,179/ID00024,5.0
326,174/ID00019,179/ID00024,4.0
327,179/ID00024,180/ID00025,1.0
328,179/ID00024,181/ID00026,1.0
329,179/ID00024,182/ID00027,1.0
330,179/ID00024,183/ID00028,1.0
331,179/ID00024,184/ID00029,1.0
332,179/ID00024,185/ID00030,1.0
333,179/ID00024,186/ID00031,1.0
334,179/ID00024,187/ID00032,1.0
335,179/ID00024,188/ID00033,1.0
336,179/ID00024,189/ID00034,1.0
337,179/ID00024,190/ID00035,1.0
338,179/ID00024,191/ID00036,1.0
339,180/ID00025,192/ID00037,1.0
340,181/ID00026,193/ID00038,1.0
341,182/ID00027,194/ID00039,1.0
342,183/ID00028,195/ID00040,1.0
343,184/ID00029,196/ID00041,1.0
344,185/ID00030,197/ID00042,1.0
345,186/ID00031,198/ID00043,1.0
346,187/ID00032,199/ID00044,1.0
347,188/ID00033,200/ID00045,1.0
348,189/ID00034,201/ID00046,1.0
349,190/ID00035,202/ID00047,1.0
350,191/ID00036,203/ID00048,1.0
351,198/ID00043,204/ID00049,2.0
352,199/ID00044,204/ID00049,4.0
353,200/ID00045,204/ID00049,3.0
354,201/ID00046,204/ID00049,2.0
355,195/ID00040,204/ID00049,3.0
356,196/ID00041,204/ID00049,3.0
357,197/ID00042,204/ID00049,3.0
358,202/ID00047,204/ID00049,5.0
359,193/ID00038,204/ID00049,2.0
360,203/ID00048,204/ID00049,4.0
361,194/ID00039,204/ID00049,4.0
362,192/ID00037,204/ID00049,3.0
363,154/entry,155/ID00000,407.0
364,154/entry,156/ID00001,408.0
365,154/entry,157/ID00002,408.0
366,154/entry,158/ID00003,408.0
367,154/entry,159/ID00004,408.0
368,154/entry,160/ID00005,408.0
369,154/entry,161/ID00006,408.0
370,154/entry,162/ID00007,408.0
371,154/entry,163/ID00008,408.0
372,154/entry,164/ID00009,408.0
373,154/entry,165/ID00010,407.0
374,154/entry,166/ID00011,409.0
375,204/ID00049,205/finish,1.0
376,207/ID00000,209/ID00002,4920.0
377,207/ID00000,210/ID00003,4920.0
378,207/ID00000,211/ID00004,4920.0
379,207/ID00000,212/ID00005,4920.0
380,207/ID00000,213/ID00006,4920.0
381,208/ID00001,214/ID00007,1792.0
382,208/ID00001,215/ID00008,1792.0
383,208/ID00001,216/ID00009,1792.0
384,208/ID00001,217/ID00010,1792.0
385,208/ID00001,218/ID00011,1792.0
386,209/ID00002,219/ID00012,1033.0
387,210/ID00003,220/ID00013,916.0
388,211/ID00004,221/ID00014,981.0
389,212/ID00005,222/ID00015,1001.0
390,213/ID00006,223/ID00016,989.0
391,214/ID00007,224/ID00017,344.0
392,215/ID00008,225/ID00018,361.0
393,216/ID00009,226/ID00019,371.0
394,217/ID00010,227/ID00020,348.0
395,218/ID00011,228/ID00021,371.0
396,219/ID00012,229/ID00022,366.0
397,220/ID00013,230/ID00023,325.0
398,221/ID00014,231/ID00024,310.0
399,222/ID00015,232/ID00025,652.0
400,223/ID00016,233/ID00026,364.0
401,224/ID00017,234/ID00027,123.0
402,225/ID00018,235/ID00028,94.0
403,226/ID00019,236/ID00029,116.0
404,227/ID00020,237/ID00030,102.0
405,228/ID00021,238/ID00031,142.0
406,229/ID00022,239/ID00032,82.0
407,230/ID00023,240/ID00033,78.0
408,231/ID00024,241/ID00034,70.0
409,232/ID00025,242/ID00035,148.0
410,233/ID00026,243/ID00036,84.0
411,234/ID00027,244/ID00037,29.0
412,235/ID00028,245/ID00038,22.0
413,236/ID00029,246/ID00039,27.0
414,237/ID00030,247/ID00040,25.0
415,238/ID00031,248/ID00041,33.0
416,241/ID00034,249/ID00042,76.0
417,242/ID00035,249/ID00042,161.0
418,239/ID00032,249/ID00042,89.0
419,240/ID00033,249/ID00042,85.0
420,243/ID00036,249/ID00042,91.0
421,247/ID00040,250/ID00043,27.0
422,248/ID00041,250/ID00043,36.0
423,245/ID00038,250/ID00043,23.0
424,246/ID00039,250/ID00043,29.0
425,244/ID00037,250/ID00043,32.0
426,250/ID00043,251/ID00044,136.0
427,249/ID00042,251/ID00044,472.0
428,251/ID00044,252/ID00045,595.0
429,252/ID00045,253/ID00046,8.0
430,206/entry,207/ID00000,4916.0
431,206/entry,208/ID00001,1790.0
432,253/ID00046,254/finish,67.0
