transfer_id,task_from,task_to,transfer_size
0,1/ID00000,9/ID00008,1660.0
1,3/ID00002,10/ID00009,1658.0
2,1/ID00000,10/ID00009,1660.0
3,1/ID00000,11/ID00010,1660.0
4,7/ID00006,11/ID00010,1670.0
5,1/ID00000,12/ID00011,1660.0
6,8/ID00007,12/ID00011,1666.0
7,2/ID00001,13/ID00012,1668.0
8,2/ID00001,14/ID00013,1668.0
9,4/ID00003,14/ID00013,1668.0
10,2/ID00001,15/ID00014,1668.0
11,8/ID00007,15/ID00014,1666.0
12,3/ID00002,16/ID00015,1658.0
13,1/ID00000,16/ID00015,1660.0
14,3/ID00002,17/ID00016,1658.0
15,3/ID00002,18/ID00017,1658.0
16,4/ID00003,18/ID00017,1668.0
17,3/ID00002,19/ID00018,1658.0
18,6/ID00005,19/ID00018,1662.0
19,3/ID00002,20/ID00019,1658.0
20,8/ID00007,20/ID00019,1666.0
21,1/ID00000,21/ID00020,1660.0
22,4/ID00003,21/ID00020,1668.0
23,5/ID00004,22/ID00021,1662.0
24,4/ID00003,22/ID00021,1668.0
25,6/ID00005,23/ID00022,1662.0
26,4/ID00003,23/ID00022,1668.0
27,4/ID00003,24/ID00023,1668.0
28,8/ID00007,24/ID00023,1666.0
29,5/ID00004,25/ID00024,1662.0
30,6/ID00005,26/ID00025,1662.0
31,5/ID00004,26/ID00025,1662.0
32,1/ID00000,27/ID00026,1660.0
33,6/ID00005,27/ID00026,1662.0
34,2/ID00001,28/ID00027,1668.0
35,6/ID00005,28/ID00027,1662.0
36,6/ID00005,29/ID00028,1662.0
37,4/ID00003,29/ID00028,1668.0
38,2/ID00001,30/ID00029,1668.0
39,7/ID00006,30/ID00029,1670.0
40,7/ID00006,31/ID00030,1670.0
41,8/ID00007,31/ID00030,1666.0
42,1/ID00000,32/ID00031,1660.0
43,8/ID00007,32/ID00031,1666.0
44,2/ID00001,33/ID00032,1668.0
45,8/ID00007,33/ID00032,1666.0
46,4/ID00003,34/ID00033,1668.0
47,8/ID00007,34/ID00033,1666.0
48,6/ID00005,35/ID00034,1662.0
49,8/ID00007,35/ID00034,1666.0
50,7/ID00006,36/ID00035,1670.0
51,8/ID00007,36/ID00035,1666.0
52,10/ID00009,37/ID00036,83.0
53,9/ID00008,37/ID00036,33.0
54,35/ID00034,37/ID00036,62.0
55,36/ID00035,37/ID00036,40.0
56,33/ID00032,37/ID00036,37.0
57,34/ID00033,37/ID00036,53.0
58,13/ID00012,37/ID00036,40.0
59,31/ID00030,37/ID00036,63.0
60,14/ID00013,37/ID00036,37.0
61,32/ID00031,37/ID00036,35.0
62,11/ID00010,37/ID00036,77.0
63,12/ID00011,37/ID00036,64.0
64,17/ID00016,37/ID00036,83.0
65,18/ID00017,37/ID00036,52.0
66,15/ID00014,37/ID00036,76.0
67,16/ID00015,37/ID00036,46.0
68,19/ID00018,37/ID00036,33.0
69,20/ID00019,37/ID00036,50.0
70,21/ID00020,37/ID00036,63.0
71,22/ID00021,37/ID00036,83.0
72,23/ID00022,37/ID00036,45.0
73,24/ID00023,37/ID00036,84.0
74,25/ID00024,37/ID00036,37.0
75,26/ID00025,37/ID00036,63.0
76,27/ID00026,37/ID00036,51.0
77,28/ID00027,37/ID00036,50.0
78,29/ID00028,37/ID00036,58.0
79,30/ID00029,37/ID00036,76.0
80,37/ID00036,38/ID00037,2.0
81,1/ID00000,39/ID00038,1660.0
